DataLength;Bubble sort steps;Bubble sort memory;Quick sort steps;Quick sort memory;Merge sort steps;Merge sort memory;
519;406697;12;4918;6624;10407;27028;
520;408296;12;4847;6688;10431;27088;
521;408436;12;4803;6800;10455;27148;
522;416601;12;5609;6448;10479;27208;
523;405511;12;4572;6448;10503;27268;
524;399618;12;5071;6560;10527;27328;
525;416370;12;5952;6736;10551;27388;
526;403999;12;5085;6352;10575;27448;
527;426533;12;5612;7024;10599;27508;
528;421512;12;4974;6608;10623;27568;
529;422496;12;4919;6784;10647;27628;
530;418729;12;5265;6720;10671;27688;
531;417067;12;5286;6768;10695;27748;
532;432354;12;4774;6816;10719;27808;
533;422526;12;5185;6848;10743;27868;
534;428563;12;5377;6800;10767;27928;
535;433217;12;4914;6864;10791;27988;
536;444532;12;5245;6736;10815;28048;
537;436380;12;5374;6864;10839;28108;
538;452133;12;5958;6880;10863;28168;
539;427331;12;4902;6944;10887;28228;
540;446174;12;5372;6960;10911;28288;
541;428398;12;5572;6800;10935;28348;
542;440675;12;5362;6896;10959;28408;
543;428425;12;5402;6864;10983;28468;
544;440792;12;5369;6736;11007;28528;
545;446768;12;5316;7024;11031;28588;
546;435641;12;4888;6608;11055;28648;
547;427123;12;5097;7120;11079;28708;
548;428598;12;4917;7008;11103;28768;
549;439894;12;4728;6800;11127;28828;
550;460771;12;4845;7040;11151;28888;
551;463653;12;5297;7088;11175;28948;
552;439092;12;6339;6960;11199;29008;
553;463984;12;5316;7008;11223;29068;
554;454973;12;5322;6976;11247;29128;
555;461155;12;5123;7072;11271;29188;
556;456650;12;6577;7008;11295;29248;
557;452190;12;5798;6960;11319;29308;
558;461259;12;5066;7136;11343;29368;
559;471333;12;5000;6896;11367;29428;
560;471900;12;5293;7328;11391;29488;
561;483748;12;5316;7072;11415;29548;
562;463277;12;5167;6992;11439;29608;
563;477567;12;5431;7056;11463;29668;
564;476110;12;5219;7136;11487;29728;
565;479994;12;5770;6976;11511;29788;
566;475367;12;5365;7120;11535;29848;
567;484561;12;5569;7376;11559;29908;
568;479656;12;5421;7104;11583;29968;
569;463484;12;5092;7264;11607;30028;
570;492801;12;5219;7312;11631;30088;
571;468435;12;5299;7168;11655;30148;
572;479938;12;5429;7200;11679;30208;
573;489366;12;5665;7312;11703;30268;
574;503415;12;5011;7232;11727;30328;
575;482653;12;5131;7168;11751;30388;
576;481028;12;5581;7280;11775;30448;
577;488244;12;5405;7264;11799;30508;
578;485573;12;5434;7072;11823;30568;
579;494687;12;5687;7296;11847;30628;
580;505118;12;5760;7296;11871;30688;
581;523062;12;5216;7136;11895;30748;
582;497439;12;6211;7616;11919;30808;
583;513005;12;5667;7424;11943;30868;
584;496140;12;5197;7344;11967;30928;
585;502648;12;5577;7520;11991;30988;
586;511329;12;5865;7344;12015;31048;
587;491255;12;5866;7392;12039;31108;
588;508710;12;5978;7568;12063;31168;
589;516386;12;5751;7280;12087;31228;
590;503815;12;5825;7392;12111;31288;
591;519173;12;5590;7328;12135;31348;
592;515940;12;5792;7424;12159;31408;
593;524248;12;5997;7456;12183;31468;
594;512145;12;5658;7584;12207;31528;
595;535743;12;5645;7568;12231;31588;
596;532738;12;6499;7424;12255;31648;
597;535722;12;5439;7616;12279;31708;
598;526987;12;6027;7584;12303;31768;
599;528073;12;5475;7488;12327;31828;
600;553024;12;6577;7584;12351;31888;
601;553868;12;5535;7504;12375;31948;
602;533661;12;5683;7696;12399;32008;
603;537063;12;5821;7616;12423;32068;
604;558242;12;5770;7408;12447;32128;
605;539394;12;5603;7728;12471;32188;
606;547167;12;5543;7744;12495;32248;
607;544101;12;5788;7520;12519;32308;
608;557400;12;6165;7648;12543;32368;
609;536572;12;6226;7872;12567;32428;
610;562061;12;5881;7568;12591;32488;
611;562871;12;6527;7776;12615;32548;
612;552226;12;6206;7648;12639;32608;
613;556586;12;7117;7776;12663;32668;
614;554603;12;5902;7680;12687;32728;
615;564789;12;5903;7632;12711;32788;
616;568840;12;6137;7664;12735;32848;
617;554220;12;5840;7792;12759;32908;
618;564709;12;5615;7968;12783;32968;
619;571003;12;5613;7824;12807;33028;
620;581290;12;5662;7824;12831;33088;
621;579930;12;6222;7712;12855;33148;
622;581819;12;6023;7920;12879;33208;
623;574053;12;6046;7632;12903;33268;
624;587156;12;5753;7952;12927;33328;
625;572628;12;5615;8064;12951;33388;
626;584897;12;5721;7808;12975;33448;
627;575487;12;5765;7888;12999;33508;
628;579914;12;6056;7888;13023;33568;
629;623130;12;6266;7936;13047;33628;
630;591975;12;6197;7968;13071;33688;
631;596177;12;5799;7952;13095;33748;
632;584100;12;5934;7904;13119;33808;
633;610696;12;6378;8000;13143;33868;
634;604817;12;6535;8272;13167;33928;
635;603579;12;6290;8096;13191;33988;
636;597202;12;6023;8000;13215;34048;
637;607586;12;6050;8096;13239;34108;
638;586539;12;6528;7840;13263;34168;
639;600857;12;6071;8048;13287;34228;
640;590716;12;6308;8096;13311;34288;
641;596912;12;6181;8352;13335;34348;
642;613133;12;6723;8160;13359;34408;
643;634651;12;6234;8016;13383;34468;
644;637146;12;6717;7872;13407;34528;
645;629042;12;6224;8096;13431;34588;
646;628763;12;6682;8096;13455;34648;
647;611545;12;6307;8240;13479;34708;
648;613416;12;5723;7840;13503;34768;
649;617464;12;6071;8288;13527;34828;
650;632669;12;6238;8208;13551;34888;
651;621259;12;7212;8112;13575;34948;
652;640926;12;7007;8288;13599;35008;
653;616794;12;5857;8224;13623;35068;
654;653903;12;5942;8432;13647;35128;
655;633121;12;6339;8064;13671;35188;
656;633096;12;6286;8512;13695;35248;
657;638952;12;6509;8320;13719;35308;
658;663109;12;6735;8240;13743;35368;
659;640219;12;6136;8128;13767;35428;
660;636886;12;6430;8224;13791;35488;
661;654206;12;6926;8288;13815;35548;
662;658651;12;6476;8368;13839;35608;
663;647493;12;6164;8400;13863;35668;
664;650396;12;6350;8496;13887;35728;
665;652864;12;6780;8496;13911;35788;
666;662197;12;6116;8256;13935;35848;
667;662155;12;7234;8352;13959;35908;
668;638226;12;6499;8224;13983;35968;
669;667786;12;6033;8304;14007;36028;
670;660999;12;6672;8336;14031;36088;
671;666181;12;6416;8512;14055;36148;
672;667772;12;7218;8672;14079;36208;
673;676708;12;6840;8384;14103;36268;
674;685289;12;6554;8128;14127;36328;
675;670459;12;6881;8336;14151;36388;
676;688262;12;7128;8480;14175;36448;
677;687094;12;6859;8704;14199;36508;
678;692659;12;6091;8592;14223;36568;
679;657729;12;6656;8640;14247;36628;
680;680100;12;6583;8400;14271;36688;
681;694972;12;6994;8576;14295;36748;
682;675437;12;6611;8336;14319;36808;
683;681819;12;6861;8624;14343;36868;
684;691190;12;6694;8656;14367;36928;
685;697126;12;7473;8544;14391;36988;
686;700827;12;6446;8560;14415;37048;
687;697249;12;6661;8576;14439;37108;
688;690040;12;7328;8656;14463;37168;
689;707696;12;7047;8768;14487;37228;
690;700137;12;7524;8656;14511;37288;
691;708839;12;6473;8816;14535;37348;
692;717290;12;6843;8720;14559;37408;
693;713366;12;7128;8688;14583;37468;
694;717259;12;7116;8640;14607;37528;
695;709037;12;7016;8512;14631;37588;
696;714336;12;6475;8656;14655;37648;
697;724628;12;6325;8768;14679;37708;
698;732489;12;7315;8768;14703;37768;
699;710451;12;6952;8976;14727;37828;
700;727402;12;6779;8800;14751;37888;
701;761714;12;6838;8944;14775;37948;
